,Adset_Name,date,day_clicks,day_reach,day_spend,day_impression,IT_Aud_ID1_up_bound,IT_Aud_ID2_up_bound,IT_Aud_ID3_up_bound,CPM,Campaign_Daily_Budget,sum_of_IT_Aud_Size
370,AI_DB_20220819_104HumanBank_MizunoCorporation_Chopper motorcycle,2022-08-20,49.0,4767.0,1914.0,6122.0,138780,7168250,6329670,312.64292714799086,3400,13636700
184,AI_DB_20220825_Batchkickingindustrialworkshop PTT.CC _Primaryschool_MilesDavis,2022-08-26,33.0,3167.0,1569.0,4082.0,942220,84883840,2018700,384.3704066634003,3400,87844760
561,AI_20220813_Toyotacars_Fox_Ford,2022-08-19,60.0,5494.0,2424.0,7321.0,154409640,284874330,150086350,331.1023084278104,3400,589370320
338,AI_20220820_Mitsubishi_GeneralMotors_Peugeot,2022-08-20,37.0,3461.0,1279.0,4508.0,79440560,73837890,72761480,283.71783496007095,3400,226039930
431,AI_DB_20220817_Lafitness_SnapFitness_Middleschool,2022-08-17,8.0,835.0,332.0,957.0,2978203,29550510,2256650,346.91745036572627,3400,34785363
339,AI_20220820_Mitsubishi_GeneralMotors_Peugeot,2022-08-21,55.0,4690.0,1817.0,6454.0,79440560,73837890,72761480,281.5308335915711,3400,226039930
185,AI_DB_20220825_Batchkickingindustrialworkshop PTT.CC _Primaryschool_MilesDavis,2022-08-27,5.0,543.0,212.0,586.0,942220,84883840,2018700,361.77474402730377,3400,87844760
495,AI_20220815_electriccar_Kia_AutomotiveDesign,2022-08-17,20.0,1903.0,751.0,2244.0,106781360,98117820,92179040,334.6702317290552,3400,297078220
123,AI_DB_20220827_Customerservice_Homebusiness_Cartuning,2022-08-29,48.0,4705.0,2099.0,5353.0,63303827,105553380,51217967,392.1165701475808,3400,220075174
249,AI_20220823_SudaMotor_Dodge_Richcar,2022-08-27,49.0,4043.0,1527.0,5434.0,31301400,34880030,30735900,281.00846521899155,3400,96917330
650,AI_NLP_20220810_advertise_data_Marketing,2022-08-12,1.0,105.0,32.0,109.0,712060990,150206230,547950040,293.57798165137615,3400,1410217260
90,AI_20220828_stadium_science_GaleSportsAssociation,2022-08-28,3.0,289.0,100.0,312.0,21362740,705993360,1551710,320.51282051282055,3400,728907810
588,餐廳料理_0812,2022-08-14,15.0,1352.0,443.0,1519.0,120674120,159852130,179267120,291.63923633969716,3400,459793370
563,AI_20220813_Toyotacars_Fox_Ford,2022-08-21,47.0,3815.0,1482.0,4663.0,154409640,284874330,150086350,317.8211451855029,3400,589370320
248,AI_20220823_SudaMotor_Dodge_Richcar,2022-08-26,50.0,3578.0,1638.0,4950.0,31301400,34880030,30735900,330.90909090909093,3400,96917330
725,金融保險房車_0808,2022-08-23,56.0,4634.0,2201.0,5472.0,115342387,492194130,169568320,402.2295321637427,3400,777104837
62,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,2022-09-01,46.0,3907.0,1098.0,4487.0,6632250,152342109,317154630,244.70693113438824,3400,476128989
63,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,2022-09-02,46.0,3813.0,1234.0,4480.0,6632250,152342109,317154630,275.4464285714286,3400,476128989
94,AI_20220828_stadium_science_GaleSportsAssociation,2022-09-01,77.0,5816.0,2030.0,7305.0,21362740,705993360,1551710,277.89185489390826,3400,728907810
724,金融保險房車_0808,2022-08-22,124.0,8610.0,3253.0,11671.0,115342387,492194130,169568320,278.7250449832919,3400,777104837
183,AI_DB_20220825_Batchkickingindustrialworkshop PTT.CC _Primaryschool_MilesDavis,2022-08-25,9.0,730.0,361.0,845.0,942220,84883840,2018700,427.21893491124257,3400,87844760
278,AI_20220822_HyundaiMotor_Lotuscar_Jaguarcar,2022-08-24,38.0,2953.0,1191.0,3535.0,64630310,55380530,43939280,336.91654879773694,3400,163950120
252,AI_20220823_SudaMotor_Dodge_Richcar,2022-08-30,38.0,2634.0,1122.0,3483.0,31301400,34880030,30735900,322.13608957795003,3400,96917330
744,居家生活_0808,2022-08-10,5.0,404.0,160.0,449.0,574430420,614046470,394840382,356.34743875278394,3400,1583317272
309,AI_NLP_20220821_market_compete_database,2022-08-23,12.0,951.0,482.0,1070.0,28024340,232982280,214515660,450.4672897196262,3400,475522280
215,AI_DB_20220824_Dell_Noise-cancellingheadphones_HiltonHotels&Resorts,2022-08-25,9.0,679.0,316.0,797.0,54753460,6713760,6077648,396.48682559598495,3400,67544868
715,金融保險房車_0808,2022-08-13,42.0,3163.0,1255.0,3718.0,115342387,492194130,169568320,337.5470683162991,3400,777104837
743,居家生活_0808,2022-08-09,11.0,858.0,313.0,965.0,574430420,614046470,394840382,324.3523316062176,3400,1583317272
371,AI_DB_20220819_104HumanBank_MizunoCorporation_Chopper motorcycle,2022-08-21,15.0,1197.0,415.0,1310.0,138780,7168250,6329670,316.793893129771,3400,13636700
527,AI_DB_20220814_Searchandrescue_LegoMindstorms_Mandopop,2022-08-17,45.0,3078.0,1243.0,3917.0,678380,12560770,19688710,317.33469491958135,3400,32927860
122,AI_DB_20220827_Customerservice_Homebusiness_Cartuning,2022-08-28,112.0,7534.0,3426.0,9502.0,63303827,105553380,51217967,360.5556724900021,3400,220075174
95,AI_20220828_stadium_science_GaleSportsAssociation,2022-09-02,26.0,1950.0,635.0,2182.0,21362740,705993360,1551710,291.0174152153987,3400,728907810
587,餐廳料理_0812,2022-08-13,15.0,1126.0,394.0,1246.0,120674120,159852130,179267120,316.2118780096308,3400,459793370
247,AI_20220823_SudaMotor_Dodge_Richcar,2022-08-25,59.0,3666.0,1517.0,4802.0,31301400,34880030,30735900,315.9100374843815,3400,96917330
714,金融保險房車_0808,2022-08-12,32.0,2403.0,887.0,2590.0,115342387,492194130,169568320,342.4710424710425,3400,777104837
557,AI_20220813_Toyotacars_Fox_Ford,2022-08-15,14.0,1066.0,318.0,1128.0,154409640,284874330,150086350,281.9148936170213,3400,589370320
462,AI_DB_20220816_Petfood_Muji_TopGear,2022-08-16,11.0,843.0,315.0,876.0,127497652,9263020,8653410,359.5890410958904,3400,145414082
648,AI_NLP_20220810_advertise_data_Marketing,2022-08-10,11.0,790.0,264.0,863.0,712060990,150206230,547950040,305.90961761297797,3400,1410217260
464,AI_DB_20220816_Petfood_Muji_TopGear,2022-08-18,42.0,2933.0,1557.0,3257.0,127497652,9263020,8653410,478.04728277556035,3400,145414082
253,AI_20220823_SudaMotor_Dodge_Richcar,2022-08-31,15.0,1021.0,381.0,1163.0,31301400,34880030,30735900,327.6010318142734,3400,96917330
277,AI_20220822_HyundaiMotor_Lotuscar_Jaguarcar,2022-08-23,24.0,1574.0,599.0,1859.0,64630310,55380530,43939280,322.2162452931684,3400,163950120
279,AI_20220822_HyundaiMotor_Lotuscar_Jaguarcar,2022-08-25,10.0,699.0,254.0,739.0,64630310,55380530,43939280,343.70771312584577,3400,163950120
717,金融保險房車_0808,2022-08-15,198.0,11032.0,4806.0,14463.0,115342387,492194130,169568320,332.29620410703177,3400,777104837
526,AI_DB_20220814_Searchandrescue_LegoMindstorms_Mandopop,2022-08-16,7.0,469.0,124.0,507.0,678380,12560770,19688710,244.5759368836292,3400,32927860
60,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,2022-08-30,31.0,1939.0,855.0,2245.0,6632250,152342109,317154630,380.8463251670379,3400,476128989
723,金融保險房車_0808,2022-08-21,46.0,2973.0,900.0,3218.0,115342387,492194130,169568320,279.67681789931635,3400,777104837
718,金融保險房車_0808,2022-08-16,139.0,8021.0,3750.0,9581.0,115342387,492194130,169568320,391.3996451309884,3400,777104837
