adsetID_date,Campaign_ID,Adset_ID,Adset_Name,IT_ID1,IT_ID2,IT_ID3,date,day_ctr,day_clicks,day_reach,day_spend,day_actions,day_impression,IT_Aud_ID1_up_bound,IT_Aud_ID2_up_bound,IT_Aud_ID3_up_bound
32,23852120288290227_2022-08-02,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
33,23852120288290227_2022-08-03,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
34,23852120288290227_2022-08-04,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
35,23852120288290227_2022-08-05,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
36,23852120288290227_2022-08-06,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
37,23852120288290227_2022-08-07,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
38,23852120288290227_2022-08-08,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
39,23852120288290227_2022-08-09,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
40,23852120288290227_2022-08-10,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
41,23852120288290227_2022-08-11,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
42,23852120288290227_2022-08-12,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
43,23852120288290227_2022-08-13,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
44,23852120288290227_2022-08-14,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
45,23852120288290227_2022-08-15,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
46,23852120288290227_2022-08-16,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
47,23852120288290227_2022-08-17,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
48,23852120288290227_2022-08-18,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
49,23852120288290227_2022-08-19,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
50,23852120288290227_2022-08-20,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
51,23852120288290227_2022-08-21,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
52,23852120288290227_2022-08-22,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
53,23852120288290227_2022-08-23,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
54,23852120288290227_2022-08-24,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
55,23852120288290227_2022-08-25,23851882559020227,23852120288290227,AI_DB_20220830_Zara Retailer _Recreation_Waterbottle,6003464256103,6003468776474,6003540904386,,,,,,,,6632250,152342109,317154630
